Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,Nivel1,Nivel2,Nivel3,FccTot,FccArb,DisEsp,ComEsp,Tesela,Poligon,TipEstr,Huso
45,"0004","A",,"579","354956","4459817","1","1","1",,"60","1",,,1129184,393,30
45,"0005","A",,"579","346867","4458807","1","1","1",,"70","1",,,1129763,403,30
45,"0006","A",,"579","352902","4458821","1","1","1",,"20","6",,,1126388,23,30
45,"0007","A",,"579","353890","4458793","1","1","3",,"40","9",,,1133788,34,30
45,"0009","A",,"579","346890","4457793","1","2","1",,"10","1",,,1125504,31,30
45,"0010","A",,"579","351856","4457803","1","1","1",,"75","1",,,1129859,61,30
45,"0012","A",,"579","354924","4457830","1","1","1",,"60","1",,,1128885,18,30
45,"0015","A",,"579","352917","4456807","1","1","1",,"70","1",,,1129639,18,30
45,"0016","A",,"579","353890","4456793","1","1","1",,"70","1",,,1129529,18,30
45,"0020","A",,"579","349907","4455774","1","1","1",,"75","1",,,1129870,403,30
45,"0023","A",,"579","352913","4455797","1","1","1",,"50","1",,,1128530,31,30
45,"0024","A",,"579","353907","4455817","1","1","1",,"70","1",,,1129698,31,30
45,"0025","A",,"579","354890","4455793","1","1","3",,"65","9",,,1134030,34,30
45,"0026","A",,"579","355924","4455821","1","1","3",,"65","9",,,1134030,34,30
45,"0027","A",,"579","347894","4454766","1","2","3",,"15","9",,,1132930,34,30
45,"0028","A",,"579","349901","4454821","1","1","1",,"65","1",,,1129330,18,30
45,"0031","A",,"579","354907","4454835","1","1","1",,"70","1",,,1129782,403,30
45,"0032","A",,"579","355876","4454807","1","1","3",,"45","9",,,1133900,34,30
45,"0034","A",,"579","351924","4453794","1","1","3",,"45","9",,,1133994,34,30
45,"0035","A",,"579","352959","4453796","1","1","3",,"55","9",,,1134024,34,30
45,"0036","A",,"579","353920","4453789","1","1","3",,"20","9",,,1133306,34,30
45,"0037","A",,"579","354901","4453756","1","1","1",,"65","1",,,1129418,403,30
45,"0039","A",,"579","343895","4452769","1","1","3",,"30","9",,,1133640,34,30
45,"0041","A",,"579","349890","4452793","1","1","3",,"45","9",,,1133943,34,30
45,"0042","A",,"579","350890","4452793","1","1","3",,"45","9",,,1133943,34,30
45,"0044","A",,"579","352920","4452787","1","1","3",,"45","9",,,1133994,34,30
45,"0046","A",,"579","355890","4452793","1","1","1",,"65","1",,,1129418,403,30
45,"0047","A",,"579","345890","4451793","1","1","1",,"25","1",,,1126676,18,30
45,"0048","A",,"579","350896","4451738","1","1","1",,"80","1",,,1129934,18,30
45,"0052","A",,"579","356906","4451753","1","1","1",,"70","1",,,1129637,18,30
45,"0053","A",,"579","357890","4451793","1","1","1",,"40","1",,,1127994,403,30
45,"0054","A",,"579","364019","4451763","1","1","1",,"40","1",,,1127657,18,30
45,"0055","A",,"579","364936","4451812","1","1","1",,"35","1",,,1127209,18,30
45,"0056","A",,"579","365969","4451803","1","1","1",,"60","1",,,1128926,18,30
45,"0059","A",,"579","344900","4450786","1","1","3",,"30","9",,,1133637,34,30
45,"0062","A",,"579","350890","4450758","1","1","1",,"60","1",,,1129214,403,30
45,"0063","A",,"579","351898","4450733","1","1","3",,"45","9",,,1133993,34,30
45,"0064","A",,"579","353890","4450793","1","1","3",,"25","9",,,1133466,34,30
45,"0068","A",,"579","358942","4450766","1","1","3",,"60","9",,,1134026,34,30
45,"0069","A",,"579","359890","4450793","1","1","3",,"60","9",,,1134026,34,30
45,"0074","A",,"579","365890","4450793","1","1","1",,"70","1",,,1129440,7,30
45,"0075","A",,"579","367997","4450862","1","1","1",,"60","1",,,1129199,403,30
45,"0076","A",,"579","368960","4450820","1","1","1",,"60","1",,,1129199,403,30
45,"0079","A",,"579","349869","4449736","1","1","1",,"30","1",,,1126831,18,30
45,"0081","A",,"579","355920","4449768","1","1","1",,"30","1",,,1127016,18,30
45,"0082","A",,"579","356854","4449716","1","1","1",,"70","1",,,1129781,403,30
45,"0084","A",,"579","358964","4449782","1","1","3",,"30","9",,,1133526,34,30
45,"0085","A",,"579","359890","4449793","1","1","1",,"60","1",,,1129217,403,30
45,"0087","A",,"579","362994","4449797","1","1","1",,"45","1",,,1128042,18,30
45,"0088","A",,"579","363961","4449831","1","1","1",,"45","1",,,1128042,18,30
45,"0089","A",,"579","365951","4449821","1","1","1",,"60","1",,,1129216,403,30
45,"0090","A",,"579","366987","4449864","1","1","1",,"60","1",,,1129223,403,30
45,"0092","A",,"579","369992","4449855","1","1","1",,"30","1",,,1126953,18,30
45,"0093","A",,"579","343890","4448793","1","1","3",,"50","9",,,1134016,34,30
45,"0096","A",,"579","356935","4448769","1","1","1",,"40","1",,,1127982,403,30
45,"0097","A",,"579","357901","4448766","1","1","1",,"60","1",,,1129217,403,30
45,"0099","A",,"579","361997","4448792","1","2","1",,"10","1",,,1125413,18,30
45,"0101","A",,"579","365976","4448834","1","1","1",,"40","1",,,1127970,403,30
45,"0104","A",,"579","368957","4448813","1","1","1",,"40","1",,,1127984,403,30
45,"0105","A",,"579","349890","4447793","1","1","1",,"35","1",,,1127149,15,30
45,"0109","A",,"579","362959","4447809","1","1","1",,"50","1",,,1128569,403,30
45,"0110","A",,"579","363890","4447793","1","1","1",,"50","1",,,1128569,403,30
45,"0112","A",,"579","366975","4447793","1","1","1",,"60","1",,,1129194,403,30
45,"0113","A",,"579","367890","4447793","1","1","1",,"60","1",,,1129194,403,30
45,"0114","A",,"579","368988","4447859","1","2","1",,"15","1",,,1125546,7,30
45,"0117","A",,"580","382890","4462793","1","1","2",,"35","1",,,1131873,403,30
45,"0118","A",,"580","383902","4462771","1","1","1",,"50","1",,,1128473,23,30
45,"0119","A",,"580","382857","4461767","1","1","1",,"65","1",,,1129347,23,30
45,"0120","A",,"580","383890","4461793","1","1","1",,"50","1",,,1128473,23,30
45,"0121","A",,"580","382890","4460793","1","1","1",,"65","1",,,1129347,23,30
45,"0122","A",,"580","383874","4460754","1","1","1",,"65","1",,,1129347,23,30
45,"0124","A",,"580","382835","4459768","1","1","1",,"75","1",,,1129825,23,30
45,"0125","A",,"580","383841","4459785","1","1","1",,"80","1",,,1129967,23,30
45,"0128","A",,"580","383890","4457793","1","1","1",,"40","1",,,1127854,23,30
45,"0129","A",,"580","384850","4457755","1","1","1",,"40","1",,,1127854,23,30
45,"0131","A",,"580","384881","4456783","1","1","2",,"60","1",,,1132136,23,30
45,"0132","A",,"580","393879","4455782","1","1","3",,"30","9",,,1133664,34,30
45,"0136","A",,"580","385890","4453793","1","1","1",,"55","1",,,1128657,18,30
45,"0137","A",,"580","387884","4453783","1","1","1",,"40","1",,,1127818,18,30
45,"0139","A",,"580","387891","4452830","1","2","3",,"15","9",,,1133093,34,30
45,"0146","A",,"580","388890","4451793","1","1","3",,"60","9",,,1134029,34,30
45,"0147","A",,"580","389879","4451797","1","1","1",,"35","1",,,1127309,18,30
45,"0148","A",,"580","390902","4451793","1","1","1",,"40","1",,,1127751,18,30
45,"0150","A",,"580","392889","4451812","1","2","3",,"15","9",,,1133092,34,30
45,"0156","A",,"580","390882","4450780","1","1","1",,"35","1",,,1127309,18,30
45,"0159","A",,"580","371860","4449839","1","1","1",,"35","1",,,1127245,18,30
45,"0160","A",,"580","379890","4449793","1","1","1",,"20","1",,,1126275,18,30
45,"0162","A",,"580","383890","4449793","1","1","3",,"20","9",,,1133356,34,30
45,"0163","A",,"580","386876","4449857","1","1","3",,"30","9",,,1133660,34,30
45,"0166","A",,"580","389894","4449826","1","1","1",,"40","1",,,1127837,18,30
45,"0167","A",,"580","390860","4449813","1","1","3",,"20","9",,,1133355,34,30
45,"0169","A",,"580","385908","4448834","1","1","3",,"45","9",,,1134000,34,30
45,"0170","A",,"580","386862","4448819","1","1","3",,"45","9",,,1134000,34,30
45,"0171","A",,"580","387908","4448786","1","1","1",,"40","1",,,1127837,18,30
45,"0172","A",,"580","389914","4448788","1","1","3",,"30","9",,,1133661,34,30
45,"0173","A",,"580","390900","4448790","1","1","3",,"30","9",,,1133661,34,30
45,"0174","A",,"580","391885","4448821","1","1","1",,"45","1",,,1128140,18,30
45,"0175","A",,"580","373886","4447815","1","1","3",,"35","9",,,1133767,34,30
45,"0177","A",,"580","384917","4447798","1","1","3",,"30","9",,,1133659,34,30
45,"0179","A",,"580","386895","4447823","1","1","3",,"45","9",,,1134000,34,30
45,"0181","A",,"580","391903","4447799","1","1","1",,"45","1",,,1128140,18,30
45,"0184","A",,"581","401912","4457800","1","1","3",,"25","9",,,1133461,34,30
45,"0188","A",,"600","298869","4440811","1","1","3",,"25","9",,,1133383,34,30
45,"0189","A",,"600","304878","4440790","1","2","3",,"15","9",,,1133021,34,30
45,"0191","A",,"600","306891","4440808","1","2","3",,"15","9",,,1133094,34,30
45,"0192","A",,"600","308856","4440816","1","1","3",,"35","9",,,1133693,34,30
45,"0193","A",,"600","309840","4440798","1","1","3",,"35","9",,,1133693,34,30
45,"0194","A",,"600","310841","4440796","1","2","3",,"10","9",,,1132823,34,30
45,"0195","A",,"600","298883","4439825","1","1","3",,"25","9",,,1133366,34,30
45,"0198","A",,"600","302891","4439794","1","2","3",,"10","9",,,1132662,34,30
45,"0200","A",,"600","307883","4439820","1","1","3",,"40","9",,,1133874,34,30
45,"0201","A",,"600","308830","4439810","1","1","3",,"40","9",,,1133874,34,30
45,"0202","A",,"600","309828","4439786","1","1","3",,"40","9",,,1133874,34,30
45,"0203","A",,"600","310829","4439810","1","1","1",,"40","1",,,1127815,18,30
45,"0205","A",,"600","299896","4438826","1","2","3",,"15","9",,,1132877,34,30
45,"0206","A",,"600","300892","4438843","1","2","1",,"15","1",,,1125585,16,30
45,"0208","A",,"600","304891","4438794","1","2","3",,"10","9",,,1132817,34,30
45,"0210","A",,"600","307944","4438830","1","1","1",,"35","1",,,1127362,18,30
45,"0213","A",,"600","310819","4438833","1","2","3",,"15","9",,,1132914,34,30
45,"0215","A",,"600","305895","4437839","1","2","3",,"15","9",,,1133015,34,30
45,"0217","A",,"600","307886","4437831","1","1","1",,"35","1",,,1127362,18,30
45,"0218","A",,"600","308896","4437830","1","1","1",,"45","1",,,1128132,18,30
45,"0219","A",,"600","312795","4437825","1","2","3",,"15","9",,,1133014,34,30
45,"0223","A",,"600","304899","4436822","1","1","3",,"45","9",,,1133938,34,30
45,"0228","A",,"600","312890","4436793","1","1","1",,"75","1",,,1129849,43,30
45,"0229","A",,"600","308909","4435811","1","1","1",,"35","1",,,1127376,18,30
45,"0232","A",,"600","306881","4434821","1","1","3",,"25","9",,,1133484,34,30
45,"0233","A",,"600","307877","4434806","1","1","3",,"45","9",,,1133934,34,30
45,"0234","A",,"600","308932","4434820","1","1","1",,"45","1",,,1128146,18,30
45,"0235","A",,"600","309914","4434835","1","1","3",,"45","9",,,1133975,34,30
45,"0236","A",,"600","310874","4434817","1","1","1",,"40","1",,,1127935,31,30
45,"0237","A",,"600","312890","4434793","1","2","3",,"15","9",,,1133081,34,30
45,"0239","A",,"600","300844","4433860","1","1","3",,"35","9",,,1133740,34,30
45,"0240","A",,"600","305903","4433839","1","2","3",,"10","9",,,1132805,34,30
45,"0243","A",,"600","307931","4432827","1","1","3",,"45","9",,,1133972,34,30
45,"0246","A",,"600","309891","4431793","1","2","3",,"15","9",,,1132900,34,30
45,"0247","A",,"600","310890","4431793","1","1","1",,"35","1",,,1127358,18,30
45,"0248","A",,"600","311928","4431840","1","1","3",,"45","9",,,1133970,34,30
45,"0249","A",,"600","306928","4430792","1","1","3",,"35","9",,,1133737,34,30
45,"0251","A",,"600","308891","4430824","1","2","3",,"15","9",,,1133011,34,30
45,"0252","A",,"600","309881","4430829","1","2","3",,"15","9",,,1133011,34,30
45,"0256","A",,"601","336828","4445793","1","1","1",,"55","1",,,1128627,18,30
45,"0257","A",,"601","338890","4445793","1","1","1",,"40","1",,,1127817,18,30
45,"0258","A",,"601","322989","4443838","1","1","2",,"65","1",,,1132309,61,30
45,"0259","A",,"601","327890","4443793","1","1","3",,"40","9",,,1133792,34,30
45,"0260","A",,"601","328890","4443793","1","1","2",,"70","1",,,1132422,61,30
45,"0263","A",,"601","338831","4443812","1","1","1",,"35","1",,,1127393,18,30
45,"0265","A",,"601","329020","4441829","1","1","1",,"40","1",,,1127619,18,30
45,"0266","A",,"601","330890","4441793","1","1","1",,"25","1",,,1126490,15,30
45,"0267","A",,"601","332838","4441784","1","1","3",,"20","9",,,1133103,34,30
45,"0268","A",,"601","336890","4441754","1","1","3",,"20","9",,,1133348,34,30
45,"0271","A",,"601","329907","4440793","1","1","1",,"35","1",,,1127200,18,30
45,"0272","A",,"601","330890","4440793","1","2","3",,"10","9",,,1132688,34,30
45,"0274","A",,"601","326990","4439739","1","1","1",,"40","1",,,1127733,18,30
45,"0276","A",,"601","328922","4439812","1","1","1",,"40","1",,,1127646,18,30
45,"0277","A",,"601","329934","4439791","1","2","3",,"15","9",,,1133019,34,30
45,"0281","A",,"601","336887","4439775","1","1","1",,"35","1",,,1127365,18,30
45,"0282","A",,"601","338890","4439793","1","1","3",,"30","9",,,1133655,34,30
45,"0285","A",,"601","315845","4438796","1","1","1",,"30","1",,,1127010,18,30
45,"0287","A",,"601","327906","4438779","1","1","3",,"45","9",,,1133992,34,30
45,"0288","A",,"601","328877","4438781","1","1","3",,"25","9",,,1133475,34,30
45,"0290","A",,"601","331891","4438754","1","1","3",,"35","9",,,1133681,34,30
45,"0292","A",,"601","313829","4437814","1","2","3",,"15","9",,,1133087,34,30
45,"0293","A",,"601","314843","4437802","1","2","3",,"10","9",,,1132861,34,30
45,"0294","A",,"601","316874","4437793","1","1","1",,"35","1",,,1127360,18,30
45,"0295","A",,"601","318890","4437793","1","2","3",,"15","9",,,1133085,34,30
45,"0297","A",,"601","326890","4437793","1","1","3",,"45","9",,,1133990,34,30
45,"0299","A",,"601","328890","4437793","1","1","3",,"45","9",,,1133992,34,30
45,"0303","A",,"601","334867","4437804","1","1","3",,"30","9",,,1133644,34,30
45,"0304","A",,"601","336841","4437803","1","1","3",,"40","9",,,1133864,34,30
45,"0305","A",,"601","338900","4437799","1","1","3",,"30","9",,,1133655,34,30
45,"0310","A",,"601","327933","4436728","1","2","3",,"15","9",,,1132892,34,30
45,"0312","A",,"601","329901","4436813","1","1","3",,"20","9",,,1133313,34,30
45,"0313","A",,"601","330878","4436793","1","1","3",,"40","9",,,1133800,34,30
45,"0314","A",,"601","331904","4436805","1","1","3",,"40","9",,,1133800,34,30
45,"0316","A",,"601","314829","4435772","1","1","1",,"40","1",,,1127924,31,30
45,"0319","A",,"601","320890","4435793","1","2","3",,"15","9",,,1133082,34,30
45,"0320","A",,"601","322890","4435793","1","1","3",,"20","9",,,1133342,34,30
45,"0322","A",,"601","326890","4435793","1","2","1",,"15","1",,,1125949,19,30
45,"0324","A",,"601","329890","4435793","1","1","3",,"20","9",,,1133313,34,30
45,"0326","A",,"601","332891","4435830","1","1","3",,"45","9",,,1133923,34,30
45,"0327","A",,"601","333871","4435841","1","1","3",,"45","9",,,1133991,34,30
45,"0328","A",,"601","334872","4435826","1","1","3",,"45","9",,,1133991,34,30
45,"0329","A",,"601","336849","4435836","1","1","1",,"45","1",,,1128066,18,30
45,"0330","A",,"601","315861","4434775","1","1","1",,"30","1",,,1127009,18,30
45,"0331","A",,"601","316854","4434779","1","1","3",,"25","9",,,1133473,34,30
45,"0332","A",,"601","326890","4434793","1","1","3",,"20","9",,,1133361,34,30
45,"0336","A",,"601","314829","4433793","1","2","1",,"15","1",,,1125884,18,30
45,"0339","A",,"601","320905","4433854","1","2","3",,"10","9",,,1132837,34,30
45,"0340","A",,"601","322829","4433776","1","1","3",,"25","9",,,1133472,34,30
45,"0342","A",,"601","334890","4433793","1","2","3",,"15","9",,,1133053,34,30
45,"0343","A",,"601","336890","4433793","1","1","3",,"35","9",,,1133743,34,30
45,"0345","A",,"601","318815","4432781","1","1","1",,"30","1",,,1127021,18,30
45,"0347","A",,"601","326845","4432770","1","1","3",,"25","9",,,1133394,34,30
45,"0348","A",,"601","314862","4431768","1","1","1",,"55","1",,,1128718,31,30
45,"0350","A",,"601","320814","4431770","1","2","3",,"15","9",,,1133079,34,30
45,"0351","A",,"601","322823","4431760","1","1","1",,"40","1",,,1127925,31,30
45,"0352","A",,"601","324890","4431793","1","1","3",,"30","9",,,1133502,34,30
45,"0354","A",,"601","338931","4431795","1","1","1",,"30","1",,,1127008,18,30
45,"0359","A",,"601","320816","4430764","1","1","3",,"30","9",,,1133650,34,30
45,"0363","A",,"602","343908","4447833","1","1","3",,"40","9",,,1133885,34,30
45,"0364","A",,"602","349941","4446816","1","1","2",,"75","1",,,1132499,403,30
45,"0366","A",,"602","347898","4445832","1","1","1",,"20","1",,,1126071,15,30
45,"0367","A",,"602","348951","4445808","1","1","1",,"75","1",,,1129789,15,30
45,"0368","A",,"602","349935","4445828","1","1","2",,"90","1",,,1132657,61,30
45,"0369","A",,"602","354891","4445828","1","1","1",,"80","1",,,1129974,29,30
45,"0371","A",,"602","361890","4445793","1","1","1",,"65","1",,,1129431,403,30
45,"0372","A",,"602","363890","4445793","1","1","1",,"40","1",,,1127985,403,30
45,"0374","A",,"602","353889","4444806","1","1","1",,"80","1",,,1129974,29,30
45,"0375","A",,"602","354901","4444787","1","1","1",,"70","1",,,1129666,29,30
45,"0377","A",,"602","351883","4443812","1","1","1",,"80","1",,,1129916,15,30
45,"0380","A",,"602","361924","4443875","1","1","1",,"55","1",,,1128736,403,30
45,"0383","A",,"602","367890","4443793","1","2","3",,"15","9",,,1133030,34,30
45,"0384","A",,"602","345918","4441829","1","1","3",,"45","9",,,1133929,34,30
45,"0385","A",,"602","347890","4441793","1","1","3",,"30","9",,,1133517,34,30
45,"0386","A",,"602","349914","4441798","1","1","3",,"35","9",,,1133691,34,30
45,"0389","A",,"602","359890","4441850","1","1","1",,"65","1",,,1129429,403,30
45,"0390","A",,"602","363935","4441794","1","1","1",,"40","1",,,1127650,18,30
45,"0391","A",,"602","365978","4441814","1","1","3",,"40","9",,,1133878,34,30
45,"0394","A",,"602","343903","4439807","1","1","3",,"40","9",,,1133872,34,30
45,"0395","A",,"602","345918","4439797","1","1","3",,"45","9",,,1133921,34,30
45,"0397","A",,"602","351890","4439793","1","1","1",,"65","1",,,1129270,18,30
45,"0399","A",,"602","363902","4439779","1","1","3",,"40","9",,,1133873,34,30
45,"0405","A",,"602","347917","4437843","1","1","3",,"40","9",,,1133781,34,30
45,"0406","A",,"602","349890","4437793","1","1","3",,"30","9",,,1133527,34,30
45,"0407","A",,"602","351880","4437802","1","1","3",,"45","9",,,1133933,34,30
45,"0408","A",,"602","357907","4437783","1","1","3",,"40","9",,,1133865,34,30
45,"0412","A",,"602","365890","4437793","1","1","3",,"40","9",,,1133895,34,30
45,"0414","A",,"602","369890","4437793","1","1","3",,"35","9",,,1133764,34,30
45,"0415","A",,"602","363890","4436793","1","1","2",,"40","1",,,1131907,31,30
45,"0416","A",,"602","368890","4436793","1","1","2",,"60","1",,,1132186,44,30
45,"0419","A",,"602","347890","4435834","1","1","1",,"35","1",,,1127516,403,30
45,"0420","A",,"602","349859","4435827","1","1","3",,"20","9",,,1133312,34,30
45,"0421","A",,"602","351890","4435793","1","2","3",,"10","9",,,1132809,34,30
45,"0423","A",,"602","359907","4435829","1","1","3",,"35","9",,,1133704,34,30
45,"0425","A",,"602","363893","4435812","1","1","1",,"60","1",,,1128974,18,30
45,"0427","A",,"602","360891","4434854","1","1","5",,"25","3",,,1136128,33,30
45,"0431","A",,"602","351839","4433840","1","1","3",,"30","9",,,1133619,34,30
45,"0434","A",,"602","357912","4433797","1","1","1",,"60","1",,,1128972,18,30
45,"0437","A",,"602","347890","4431793","1","2","3",,"15","9",,,1132913,34,30
45,"0438","A",,"602","349890","4431793","1","2","3",,"15","9",,,1133052,34,30
45,"0440","A",,"602","356890","4431793","1","2","2",,"10","1",,,1130176,44,30
45,"0446","A",,"602","353873","4429781","1","1","1",,"65","1",,,1129305,18,30
45,"0449","A",,"603","376890","4446793","1","1","3",,"30","9",,,1133634,34,30
45,"0450","A",,"603","378894","4446809","1","2","3",,"15","9",,,1133037,34,30
45,"0457","A",,"603","386890","4444793","1","2","2",,"10","1",,,1131297,888,30
45,"0462","A",,"603","376883","4442748","1","1","1",,"60","1",,,1128979,18,30
45,"0465","A",,"603","372890","4440793","1","1","3",,"25","9",,,1133452,34,30
45,"0466","A",,"603","374890","4440793","1","1","1",,"35","1",,,1127389,18,30
45,"0467","A",,"603","370883","4438798","1","1","3",,"40","9",,,1133869,34,30
45,"0470","A",,"604","424941","4436795","1","1","2",,"65","1",,,1132249,24,30
45,"0484","A",,"625","310926","4429803","1","1","3",,"45","9",,,1133967,34,30
45,"0485","A",,"625","298924","4427798","1","1","3",,"30","9",,,1133608,34,30
45,"0486","A",,"625","304950","4427778","1","1","1",,"40","1",,,1127728,18,30
45,"0487","A",,"625","306930","4427778","1","1","3",,"35","9",,,1133734,34,30
45,"0489","A",,"625","310964","4427807","1","1","3",,"45","9",,,1133967,34,30
45,"0491","A",,"625","298919","4425829","1","1","3",,"45","9",,,1133964,34,30
45,"0493","A",,"625","306913","4421798","1","1","3",,"40","9",,,1133785,34,30
45,"0498","A",,"625","308914","4415790","1","1","1",,"35","1",,,1127354,18,30
45,"0499","A",,"625","310890","4415793","1","1","1",,"45","1",,,1128069,18,30
45,"0502","A",,"626","315890","4429804","1","1","3",,"20","9",,,1133128,34,30
45,"0503","A",,"626","317890","4429793","1","1","3",,"20","9",,,1133144,34,30
45,"0504","A",,"626","318850","4429793","1","1","3",,"40","9",,,1133813,34,30
45,"0509","A",,"626","323875","4429785","1","1","1",,"35","1",,,1127240,18,30
45,"0512","A",,"626","319901","4428811","1","2","3",,"10","9",,,1132874,34,30
45,"0513","A",,"626","320890","4428793","1","1","3",,"20","9",,,1133108,34,30
45,"0515","A",,"626","322890","4428793","1","1","3",,"35","9",,,1133692,34,30
45,"0517","A",,"626","324890","4428793","1","1","3",,"25","9",,,1133439,34,30
45,"0519","A",,"626","326823","4428800","1","1","3",,"35","9",,,1133682,34,30
45,"0520","A",,"626","327840","4428819","1","1","1",,"35","1",,,1127472,31,30
45,"0524","A",,"626","316890","4427793","1","1","3",,"40","9",,,1133853,34,30
45,"0525","A",,"626","317890","4427793","1","1","3",,"25","9",,,1133388,34,30
45,"0530","A",,"626","322890","4427793","1","1","3",,"40","9",,,1133793,34,30
45,"0533","A",,"626","325890","4427793","1","2","3",,"10","9",,,1132856,34,30
45,"0534","A",,"626","326890","4427793","1","1","3",,"45","9",,,1133901,34,30
45,"0535","A",,"626","327902","4427772","1","1","3",,"35","9",,,1133682,34,30
45,"0538","A",,"626","337890","4427793","1","1","1",,"20","6",,,1126374,18,30
45,"0543","A",,"626","320890","4426793","1","1","3",,"35","9",,,1133680,34,30
45,"0545","A",,"626","323898","4426802","1","1","3",,"45","9",,,1134005,34,30
45,"0546","A",,"626","324906","4426795","1","1","3",,"20","9",,,1133362,34,30
45,"0548","A",,"626","326910","4426794","1","1","3",,"40","9",,,1133786,34,30
45,"0549","A",,"626","327890","4426793","1","1","3",,"40","9",,,1133786,34,30
45,"0552","A",,"626","318861","4425752","1","1","3",,"40","9",,,1133795,34,30
45,"0557","A",,"626","323890","4425793","1","2","3",,"15","9",,,1132896,34,30
45,"0558","A",,"626","324890","4425793","1","1","3",,"40","9",,,1133780,34,30
45,"0560","A",,"626","326890","4425793","1","1","3",,"35","9",,,1133771,34,30
45,"0563","A",,"626","329875","4425799","1","1","1",,"45","1",,,1128065,18,30
45,"0565","A",,"626","319913","4424786","1","1","3",,"30","9",,,1133513,34,30
45,"0567","A",,"626","321862","4424822","1","1","3",,"30","9",,,1133533,34,30
45,"0570","A",,"626","324890","4424793","1","1","3",,"40","9",,,1133797,34,30
45,"0571","A",,"626","325896","4424811","1","1","3",,"30","9",,,1133605,34,30
45,"0573","A",,"626","327885","4424807","1","1","3",,"30","9",,,1133512,34,30
45,"0575","A",,"626","318890","4423793","1","1","3",,"30","9",,,1133604,34,30
45,"0579","A",,"626","322899","4423806","1","1","3",,"40","9",,,1133851,34,30
45,"0582","A",,"626","325913","4423819","1","1","3",,"20","9",,,1133127,34,30
45,"0583","A",,"626","326910","4423793","1","1","3",,"20","9",,,1133127,34,30
45,"0584","A",,"626","327890","4423793","1","1","3",,"30","9",,,1133512,34,30
45,"0585","A",,"626","328860","4423805","1","1","2",,"45","1",,,1131986,41,30
45,"0588","A",,"626","321889","4422808","1","1","3",,"25","9",,,1133433,34,30
45,"0590","A",,"626","323884","4422804","1","2","3",,"15","9",,,1133002,34,30
45,"0591","A",,"626","324898","4422780","1","1","3",,"25","9",,,1133434,34,30
45,"0592","A",,"626","325889","4422813","1","2","3",,"10","9",,,1132793,34,30
45,"0594","A",,"626","327902","4422803","1","1","3",,"30","9",,,1133532,34,30
45,"0597","A",,"626","319914","4421784","1","1","3",,"35","9",,,1133729,34,30
45,"0598","A",,"626","320891","4421780","1","1","3",,"25","9",,,1133433,34,30
45,"0600","A",,"626","322890","4421793","1","2","3",,"15","9",,,1133002,34,30
45,"0601","A",,"626","323876","4421810","1","2","3",,"15","9",,,1133002,34,30
45,"0602","A",,"626","324892","4421828","1","2","3",,"15","9",,,1133002,34,30
45,"0603","A",,"626","325888","4421839","1","1","3",,"25","9",,,1133434,34,30
45,"0609","A",,"626","322931","4419787","1","2","3",,"10","9",,,1132790,34,30
45,"0610","A",,"626","323860","4419847","1","1","3",,"35","9",,,1133727,34,30
45,"0613","A",,"626","314890","4418793","1","1","3",,"45","9",,,1133963,34,30
45,"0618","A",,"626","316899","4417804","1","1","3",,"35","9",,,1133725,34,30
45,"0619","A",,"626","317890","4417793","1","1","3",,"25","9",,,1133431,34,30
45,"0620","A",,"626","318900","4417777","1","1","3",,"25","9",,,1133431,34,30
45,"0621","A",,"626","313874","4416816","1","1","3",,"25","9",,,1133430,34,30
45,"0622","A",,"626","314890","4416793","1","1","3",,"25","9",,,1133430,34,30
45,"0623","A",,"626","315887","4416826","1","1","3",,"25","9",,,1133430,34,30
45,"0626","A",,"626","318903","4416786","1","1","3",,"25","9",,,1133431,34,30
